Artist Name,Track Name,Popularity,Explicit,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Liveness,Valence,Tempo,Mode,Release Year,Duration,Clusters
Sly & Robbie,Belly Dancer,2,Clean,0.787,0.808,B,0.8978837756130332,0.0615,0.00806,0.311,0.267,120.0,Major,2021,4.357916666666667,Cluster 1
Sly & Robbie,Linstead Market,4,Clean,0.715,0.764,F,0.8111676700860443,0.0896,0.156,0.0981,0.367,192.0,Minor,2021,4.084183333333334,Cluster 1
Sly & Robbie,Mad Piano,2,Clean,0.799,0.65,B,0.8085062401488333,0.0479,0.00041,0.358,0.357,129.0,Minor,2021,3.85255,Cluster 1
Sly & Robbie,Yaw Yaw Yippee,3,Clean,0.795,0.798,D,0.8304178186610165,0.0522,0.00674,0.114,0.0539,109.0,Major,2021,3.9548666666666654,Cluster 1
Sly & Robbie,Dub It to the Max - King Tubby Dub,21,Clean,0.798,0.238,G#/Ab,0.6638846541433038,0.246,0.00519,0.0898,0.515,77.0,Major,2021,2.5709833333333334,Cluster 2
Sly & Robbie,Make a Dub - Don Camel Dub,9,Clean,0.608,0.472,E,0.7800315237332369,0.101,0.0152,0.37,0.405,93.0,Minor,2021,4.339016666666667,Cluster 1
Sly & Robbie,"Full Dub, Plant a Tree - Don Camel Dub",23,Clean,0.798,0.362,A#/Bb,0.7583524973514896,0.163,0.0103,0.134,0.632,83.0,Minor,2021,4.458666666666667,Cluster 2
Sly & Robbie,Daisy Dub,3,Clean,0.773,0.514,A#/Bb,0.7112994496266246,0.075,0.0083,0.104,0.376,128.0,Minor,2019,8.4267,Cluster 2
Sly & Robbie,Aux Armes Dub,11,Clean,0.804,0.373,C,0.6371928373943825,0.122,0.0474,0.32,0.909,137.0,Major,2019,3.4935666666666667,Cluster 2
Sly & Robbie,Drifters - Live,0,Clean,0.5,0.567,G,0.7115836800082684,0.0333,0.082,0.291,0.467,142.0,Major,2019,5.0891166666666665,Cluster 1
Sly & Robbie,Mind Your Dub - Don Camel Dub,23,Clean,0.771,0.424,A#/Bb,0.7227720213947959,0.0855,0.00474,0.331,0.528,138.0,Major,2021,3.9082666666666666,Cluster 2
